Participant,Item ID,Estimated Surprise,Explanation 1,Explanation 2,Reported Surprise,Preferred Explanation,Class
Alice,6xdAWJnUp8xTBaczUO8sLx,0.027183137218025,short,long,0.03,short,1
Alice,5RU97jQPEFEbwA2BMknw8N,0.038414398354353,long,short,0.04,short,1
Alice,0QTCTu0CXv4X1JEE4gNpGv,0.009625800802856,long,short,0.01,short,1
Alice,4lsHZ92XCFOQfzJFBTluk8,0.029563043855117,long,short,0.03,short,1
Alice,6vcdzohhBSbNdsZBh5IRpQ,0.023714882011938,long,short,0.02,short,1
Alice,5qDlo2g8QwkA36PNqWpDCz,0.049384882083659,long,short,0.05,short,1
Alice,0qMQdUind252qR7aRg5Jy7,0.017613205943555,long,short,0.02,short,1
Alice,3gMrH8OIROYCrFskiBaNsA,0.028701622041504,short,long,0.03,short,1
Alice,66W3GpbqpSD5xR4PGAvu0H,0.065321572122607,short,long,0.07,short,1
Alice,66ark8uqwtus4LkRSTn8UG,0.033621363818439,long,short,0.03,short,1
Beatriz,1pCfOO0Zs5F5TRQxcTdQma,0.196157606167642,long,short,0.2,short,4
Beatriz,0nORptIh3WnyVEkcYcQJRo,0.216325608271528,short,long,0.22,long,5
Beatriz,6korvxtUEyt590jUFOfADm,0.126351511382695,long,short,0.13,short,3
Beatriz,5iE5Z4FuJg1YufCwPppmFY,0.144070293956396,long,short,0.14,short,3
Beatriz,2WzgeADl1yEQHNDl67Q2JD,0.146144222534834,short,long,0.15,short,3
Beatriz,7sFKYYPJNfEXRBtQtqK1EW,0.153075322257261,short,long,0.15,short,3
Beatriz,2claYrMjdarDxaKBO7ppTG,0.120552181274405,short,long,0.12,short,2
Beatriz,7114JMdpaHhNEOlIY0Ljze,0.152413636643586,short,long,0.15,short,3
Beatriz,5VWC7v2dC2K0SIIjT9WTLN,0.19443985255357,short,long,0.19,short,4
Beatriz,6YCAwYyPISd095lro2SScb,0.21445920458115,long,short,0.21,long,4
Claudio,1p633XMTnZWNbczuwTfuqv,0.017414765216915,short,long,0.02,short,1
Claudio,0E5GQJPvKvp2XEcwSLyROD,0.031677055174289,long,short,0.03,short,1
Claudio,3gFZN5fyASfrIJudJYeobL,0.024696910750901,short,long,0.02,short,1
Claudio,64B4UbGRLtGRBtiN2m8OvF,0.012922955495358,long,short,0.01,short,1
Claudio,5dILFohd0MWsM5a1ueCiBO,0.025323828586614,short,long,0.03,short,1
Claudio,6QDOk2mn5jm6xvNgsUsvnz,0.026944237238474,short,long,0.03,short,1
Claudio,2ey0dRQ93XQMdMlSgsfSAd,0.011067563929195,short,long,0.01,short,1
Claudio,6ngxsLZQEbpF76MKWcimnP,0.012815707815525,short,long,0.01,short,1
Claudio,3sqNXrDvCy4nid6XbaA2Cg,0.009221093143987,short,long,0.01,short,1
Claudio,1d8VHdrsxFu4dsnFI5zxlp,0.00982070906537,short,long,0.01,short,1
Demetrio,3MRhD3aeh4rBY2UCFvSn5P,0.022714655282874,long,short,0.02,short,1
Demetrio,6YrHwFHn7fkpC4ZlcwC42w,0.016727893756015,short,long,0.02,short,1
Demetrio,20R2CCtPvCNWhGYlO3jTUP,0.018249881579311,short,long,0.02,short,1
Demetrio,2QSZikwwxeoTevyGS40UbD,0.015804635582067,long,short,0.02,short,1
Demetrio,0CUjLb2jJSt5B6HKDleT4h,0.018185276025917,short,long,0.02,short,1
Demetrio,56SVBMooZE2AYjlaO10lH4,0.013936950269106,long,short,0.01,short,1
Demetrio,3IEt3EULj9lcQ6OSLNQggL,0.013285859585141,long,short,0.01,short,1
Demetrio,5ilgu9Ds54wBPKL297K1iH,0.014262401756638,long,short,0.01,short,1
Demetrio,61bXJMSnh8wDCrSXBHtX43,0.024000186296198,long,short,0.02,short,1
Demetrio,0d4Sw6JRooBtIBtTd0FQ80,0.015161617120485,long,short,0.02,short,1
Eduardo,3NK1S43wIXbYhWHCjQOrnM,0.194003357667702,short,long,0.19,short,4
Eduardo,5kVFPD9CCQdFjd4cnTtHYB,0.234328933156729,short,long,0.23,long,5
Eduardo,4kSKacywUJHdhyst4PL6pl,0.169862693887951,short,long,0.17,short,4
Eduardo,5JNvakubS6bqJ6TPRRiold,0.245955213079541,short,long,0.25,long,5
Eduardo,5rGD8FFgHw74cp3RPhucyg,0.184037200571981,short,long,0.18,short,4
Eduardo,0rUp8xHIXQmbHyy2as90ST,0.220284715172601,short,long,0.22,long,5
Eduardo,1bKQ48M9onID2kbSpRy8kK,0.168209395945671,short,long,0.17,short,4
Eduardo,5fs4TtWv38OucmbAZbdkQw,0.230245668294422,short,long,0.23,long,5
Eduardo,293hYuCV5DPIzUahm8tuTd,0.240761795631842,short,long,0.24,long,5
Eduardo,5J5rzvpYAQHlELldedLT9X,0.171827298584281,long,short,0.17,short,4
