Participant	Item ID	Estimated Surprise	Explanation 1	Explanation 2	Reported Surprise	Preferred Explanation	Class
Alice	2NTmqslyNXHq2HabT8lM8x	0.017375368929641588	short	long	0.02	short	1
Alice	5K27xdI3aPGoyXnxdcan82	0.040303197947395064	long	short	0.04	short	1
Alice	0OcbQA6CJBzMzJrZsaL46X	0.021131287484836947	long	short	0.02	short	1
Alice	5VwFkx7JOimOGTYfha5rs1	0.023465033379144073	long	short	0.02	short	1
Alice	27SJDm1QBLdfOUR2FIQ5SK	0.030803441721185543	long	short	0.03	short	1
Alice	5oZa1smfDqlY8E2rfUgUEl	0.04465875802603253	long	short	0.04	short	1
Alice	2UCxVajVSBmExOoUamjtMd	0.014642566380067279	long	short	0.01	short	1
Alice	2r7ks40s19gTtu43JnbhHc	0.07145954376462671	short	long	0.07	short	1
Alice	6ASifFs9LjXe5sPOiCMGkW	0.019353661177869796	short	long	0.02	short	1
Alice	772fNdMLi55Wd1aiSgGxPK	0.023536608068423337	long	short	0.02	short	1
Beatriz	6tSBS6D7ym2K90GdMUWTic	0.22608296314274534	long	short	0.23	long	5
Beatriz	3r1BpaHjGFmDc067f2kAqG	0.08847760430805635	short	long	0.09	short	2
Beatriz	6Z9wcmFc9JleuOKHTkSoJ4	0.18800172113957808	short	long	0.19	short	4
Beatriz	6hzqAmGSQv3Sb5tY0WB8RA	0.21738652623393145	long	short	0.22	long	5
Beatriz	1GrW9Hp8KkP4otSHQzXclS	0.15228210840904904	long	short	0.15	short	3
Beatriz	7sFKYYPJNfEXRBtQtqK1EW	0.118037407546005	short	long	0.12	short	2
Beatriz	2EVjL6ljSRdzvHvFgCXS7K	0.20879946621802348	short	long	0.21	long	4
Beatriz	0IGMSI4llrY355QFkzvh5n	0.11632201019087002	short	long	0.12	short	2
Beatriz	4GY2jodbykBWPnkkIIfZr9	0.14850182810992357	long	short	0.15	short	3
Beatriz	7vtBFwqQtXEXrVviHANMUV	0.12622901603620867	long	short	0.13	short	3
Claudio	7LblT8I1YJHhdFyaY8gUyI	0.21144241312838014	long	short	0.21	long	4
Claudio	4TE8vBi2iId42pOr6Zrcph	0.07730083883805244	short	long	0.08	short	1
Claudio	3Hdabig0IgtRNV7QfdbKZP	0.16166318031621268	short	long	0.16	short	3
Claudio	1bvoC6zobzodnDfyJm3fec	0.12711412308555092	short	long	0.13	short	3
Claudio	6Z9wcmFc9JleuOKHTkSoJ4	0.2207383558480312	short	long	0.22	long	5
Claudio	7iWYgEFFarAhSroaWK6oKA	0.06442608218115498	long	short	0.06	short	1
Claudio	5Z0Khiz8xgC8AYMr4ctS8Y	0.10920442090909188	long	short	0.11	short	2
Claudio	3scUh5FeQROzlBHmT2L8FP	0.1607969523835428	long	short	0.16	short	3
Claudio	7E9qmGwQA7Bo06tKHRF852	0.08097890487015164	long	short	0.08	short	1
Claudio	5v5yKtClVm2YGWzFxEMAkg	0.1784866549305496	long	short	0.18	short	4
Demetrio	4vSfLD6eFmdRvN77IIfXwl	0.14031759641784097	long	short	0.14	short	3
Demetrio	1AT4s0r3tmhlbl6AzsZmet	0.12079059179512264	long	short	0.12	short	2
Demetrio	6DZO4qJMgLTwk1YbS79Fmy	0.1359407448282821	long	short	0.14	short	3
Demetrio	2Ycd5nLLeWiLFvSszp6Pib	0.15150140693984837	long	short	0.15	short	3
Demetrio	6bSFqXco9kZbg1IFmGYwlY	0.15139472044589453	short	long	0.15	short	3
Demetrio	0BgxLkFDlw1xOrQqAVMs6E	0.1565172841616272	short	long	0.16	short	3
Demetrio	5DKCrbivQkzlCifKgGi2Ox	0.0889043583114944	long	short	0.09	short	2
Demetrio	0pJShWh74eXYopuvTWZ0FC	0.16092438194695485	short	long	0.16	short	3
Demetrio	6SBFgO5WifutHBSdaGrK0z	0.1361784454082231	short	long	0.14	short	3
Demetrio	7zSLUcc5jWrFYuTD6NnDNJ	0.09022597182708697	short	long	0.09	short	2
Eduardo	4cr9cfUYbIwuhqzhF9dpIZ	0.12018946566260408	short	long	0.12	short	2
Eduardo	1Pc717MClJDSiDLfRn6TWl	0.08043720550250244	short	long	0.08	short	1
Eduardo	4pKfihh0OKoOfxirI6gmXR	0.16618161102103218	short	long	0.17	short	4
Eduardo	1qX4U9FNeR1E7vrAcWmLya	0.1681512363638814	long	short	0.17	short	4
Eduardo	6H1Kjxu2NlJCMxg0Pay0Rd	0.11806027125342261	short	long	0.12	short	2
Eduardo	3BUdIdKpaLlQNJW9hzfu4f	0.19968244436460647	short	long	0.2	short	4
Eduardo	7FOJKfiyl1tegmYRqs7AuZ	0.18836811190524322	long	short	0.19	short	4
Eduardo	07GHjnkACLKbeENj6g3a6i	0.16565576586183373	long	short	0.17	short	4
Eduardo	36cBpZAdHvTkoWLVP0agdl	0.17050888819604643	long	short	0.17	short	4
Eduardo	5mf2Zhnko8ZOemdFu4fqBt	0.12687136950645028	long	short	0.13	short	3
